idx,weekday,wd_name,hour,minute,week1,week2,week3,week4,top100_mre,overall_mre
260,2,Wed,13,00,2018-09-05 13:00:00,2018-09-12 13:00:00,2018-09-19 13:00:00,2018-09-26 13:00:00,0.391887,1.001406
261,2,Wed,20,30,2018-09-05 20:30:00,2018-09-12 20:30:00,2018-09-19 20:30:00,2018-09-26 20:30:00,0.555624,0.768703
262,2,Wed,8,55,2018-09-05 08:55:00,2018-09-12 08:55:00,2018-09-19 08:55:00,2018-09-26 08:55:00,0.261180,1.058976
263,2,Wed,5,45,2018-09-05 05:45:00,2018-09-12 05:45:00,2018-09-19 05:45:00,2018-09-26 05:45:00,0.443429,0.259410
264,2,Wed,17,10,2018-09-05 17:10:00,2018-09-12 17:10:00,2018-09-19 17:10:00,2018-09-26 17:10:00,0.440648,1.030349
265,2,Wed,8,50,2018-09-05 08:50:00,2018-09-12 08:50:00,2018-09-19 08:50:00,2018-09-26 08:50:00,0.382965,1.188102
266,2,Wed,20,10,2018-09-05 20:10:00,2018-09-12 20:10:00,2018-09-19 20:10:00,2018-09-26 20:10:00,0.551004,0.830970
267,2,Wed,5,05,2018-09-05 05:05:00,2018-09-12 05:05:00,2018-09-19 05:05:00,2018-09-26 05:05:00,0.615470,0.214306
268,2,Wed,13,05,2018-09-05 13:05:00,2018-09-12 13:05:00,2018-09-19 13:05:00,2018-09-26 13:05:00,0.290280,1.023357
269,2,Wed,6,15,2018-09-05 06:15:00,2018-09-12 06:15:00,2018-09-19 06:15:00,2018-09-26 06:15:00,0.490418,0.353819
270,2,Wed,6,45,2018-09-05 06:45:00,2018-09-12 06:45:00,2018-09-19 06:45:00,2018-09-26 06:45:00,0.441977,0.514033
271,2,Wed,5,30,2018-09-05 05:30:00,2018-09-12 05:30:00,2018-09-19 05:30:00,2018-09-26 05:30:00,0.609724,0.260500
272,2,Wed,23,45,2018-09-05 23:45:00,2018-09-12 23:45:00,2018-09-19 23:45:00,2018-09-26 23:45:00,0.702294,0.362776
273,2,Wed,9,20,2018-09-05 09:20:00,2018-09-12 09:20:00,2018-09-19 09:20:00,2018-09-26 09:20:00,0.257953,0.978818
274,2,Wed,6,50,2018-09-05 06:50:00,2018-09-12 06:50:00,2018-09-19 06:50:00,2018-09-26 06:50:00,0.374202,0.456849
275,2,Wed,20,05,2018-09-05 20:05:00,2018-09-12 20:05:00,2018-09-19 20:05:00,2018-09-26 20:05:00,0.460528,0.832319
276,2,Wed,1,05,2018-09-05 01:05:00,2018-09-12 01:05:00,2018-09-19 01:05:00,2018-09-26 01:05:00,0.710586,0.220830
277,2,Wed,12,15,2018-09-05 12:15:00,2018-09-12 12:15:00,2018-09-19 12:15:00,2018-09-26 12:15:00,0.375912,1.011738
278,2,Wed,18,40,2018-09-05 18:40:00,2018-09-12 18:40:00,2018-09-19 18:40:00,2018-09-26 18:40:00,0.435470,1.007944
279,2,Wed,5,55,2018-09-05 05:55:00,2018-09-12 05:55:00,2018-09-19 05:55:00,2018-09-26 05:55:00,0.551371,0.254777
280,2,Wed,5,50,2018-09-05 05:50:00,2018-09-12 05:50:00,2018-09-19 05:50:00,2018-09-26 05:50:00,0.503304,0.258173
281,2,Wed,18,25,2018-09-05 18:25:00,2018-09-12 18:25:00,2018-09-19 18:25:00,2018-09-26 18:25:00,0.397121,1.023420
282,2,Wed,7,20,2018-09-05 07:20:00,2018-09-12 07:20:00,2018-09-19 07:20:00,2018-09-26 07:20:00,0.383023,0.574733
283,2,Wed,15,05,2018-09-05 15:05:00,2018-09-12 15:05:00,2018-09-19 15:05:00,2018-09-26 15:05:00,0.320807,0.936054
284,2,Wed,12,55,2018-09-05 12:55:00,2018-09-12 12:55:00,2018-09-19 12:55:00,2018-09-26 12:55:00,0.339347,1.003955
285,2,Wed,11,35,2018-09-05 11:35:00,2018-09-12 11:35:00,2018-09-19 11:35:00,2018-09-26 11:35:00,0.271953,0.966217
286,2,Wed,16,20,2018-09-05 16:20:00,2018-09-12 16:20:00,2018-09-19 16:20:00,2018-09-26 16:20:00,0.349837,1.017692
287,2,Wed,19,10,2018-09-05 19:10:00,2018-09-12 19:10:00,2018-09-19 19:10:00,2018-09-26 19:10:00,0.332096,0.905424
288,2,Wed,19,25,2018-09-05 19:25:00,2018-09-12 19:25:00,2018-09-19 19:25:00,2018-09-26 19:25:00,0.425897,0.982016
289,2,Wed,23,00,2018-09-05 23:00:00,2018-09-12 23:00:00,2018-09-19 23:00:00,2018-09-26 23:00:00,0.698015,0.517812
290,2,Wed,10,35,2018-09-05 10:35:00,2018-09-12 10:35:00,2018-09-19 10:35:00,2018-09-26 10:35:00,0.328063,0.882672
291,2,Wed,18,30,2018-09-05 18:30:00,2018-09-12 18:30:00,2018-09-19 18:30:00,2018-09-26 18:30:00,0.424144,1.037273
292,2,Wed,20,25,2018-09-05 20:25:00,2018-09-12 20:25:00,2018-09-19 20:25:00,2018-09-26 20:25:00,0.630494,0.892335
293,2,Wed,4,40,2018-09-05 04:40:00,2018-09-12 04:40:00,2018-09-19 04:40:00,2018-09-26 04:40:00,0.719425,0.173846
294,2,Wed,0,30,2018-09-05 00:30:00,2018-09-12 00:30:00,2018-09-19 00:30:00,2018-09-26 00:30:00,0.558922,0.299393
295,2,Wed,10,00,2018-09-05 10:00:00,2018-09-12 10:00:00,2018-09-19 10:00:00,2018-09-26 10:00:00,0.311991,1.125617
296,2,Wed,7,35,2018-09-05 07:35:00,2018-09-12 07:35:00,2018-09-19 07:35:00,2018-09-26 07:35:00,0.376113,0.755932
297,2,Wed,4,30,2018-09-05 04:30:00,2018-09-12 04:30:00,2018-09-19 04:30:00,2018-09-26 04:30:00,0.638336,0.182289
298,2,Wed,14,10,2018-09-05 14:10:00,2018-09-12 14:10:00,2018-09-19 14:10:00,2018-09-26 14:10:00,0.319858,1.015639
299,2,Wed,8,25,2018-09-05 08:25:00,2018-09-12 08:25:00,2018-09-19 08:25:00,2018-09-26 08:25:00,0.330420,0.921836
300,2,Wed,2,15,2018-09-05 02:15:00,2018-09-12 02:15:00,2018-09-19 02:15:00,2018-09-26 02:15:00,0.605445,0.175932
301,2,Wed,18,00,2018-09-05 18:00:00,2018-09-12 18:00:00,2018-09-19 18:00:00,2018-09-26 18:00:00,0.356989,1.020072
302,2,Wed,13,55,2018-09-05 13:55:00,2018-09-12 13:55:00,2018-09-19 13:55:00,2018-09-26 13:55:00,0.334961,1.017229
303,2,Wed,22,00,2018-09-05 22:00:00,2018-09-12 22:00:00,2018-09-19 22:00:00,2018-09-26 22:00:00,0.660935,0.664664
304,2,Wed,9,30,2018-09-05 09:30:00,2018-09-12 09:30:00,2018-09-19 09:30:00,2018-09-26 09:30:00,0.283373,0.973385
305,2,Wed,11,05,2018-09-05 11:05:00,2018-09-12 11:05:00,2018-09-19 11:05:00,2018-09-26 11:05:00,0.240002,0.961853
