bin,hour_dec,fair_per_day,ref_W1,ref_W3,ref_W4,ref_mean,ref_std,lift
52,4.333333333333333,2.6666666666666665,9.666666666666666,3.3333333333333335,15.0,9.333333333333334,4.76872527419443,-6.666666666666668
53,4.416666666666667,6.666666666666667,11.666666666666666,10.666666666666666,12.333333333333334,11.555555555555555,0.6849348892187755,-4.888888888888888
54,4.5,10.333333333333334,8.333333333333334,15.333333333333334,10.333333333333334,11.333333333333334,2.943920288775949,-1.0
55,4.583333333333333,5.666666666666667,10.666666666666666,16.0,14.0,13.555555555555555,2.1998877636914815,-7.888888888888888
56,4.666666666666667,17.333333333333332,14.666666666666666,17.0,14.333333333333334,15.333333333333334,1.1863420280034789,1.9999999999999982
57,4.75,13.333333333333334,12.333333333333334,8.666666666666666,8.333333333333334,9.777777777777779,1.8121673811444547,3.5555555555555554
58,4.833333333333333,14.333333333333334,18.666666666666668,26.0,17.0,20.555555555555557,3.909469352390929,-6.222222222222223
59,4.916666666666667,7.333333333333333,16.666666666666668,21.0,24.333333333333332,20.666666666666668,3.138765975961229,-13.333333333333336
60,5.0,7.666666666666667,9.666666666666666,5.666666666666667,20.666666666666668,12.0,6.342099196813483,-4.333333333333333
61,5.083333333333333,5.666666666666667,9.0,13.666666666666666,15.666666666666666,12.777777777777777,2.793290019994785,-7.11111111111111
62,5.166666666666667,10.333333333333334,16.0,12.333333333333334,25.0,17.77777777777778,5.32174667325691,-7.444444444444445
63,5.25,12.0,15.0,16.333333333333332,24.666666666666668,18.666666666666668,4.27741701220448,-6.666666666666668
64,5.333333333333333,14.0,20.333333333333332,20.0,20.0,20.11111111111111,0.1571348402636767,-6.111111111111111
65,5.416666666666667,18.0,22.0,22.666666666666668,26.333333333333332,23.666666666666668,1.9051586888313599,-5.666666666666668
66,5.5,14.666666666666666,16.333333333333332,23.0,29.0,22.777777777777775,5.1735318785879185,-8.111111111111109
67,5.583333333333333,18.666666666666668,19.666666666666668,28.0,17.666666666666668,21.777777777777782,4.474895681244948,-3.1111111111111143
68,5.666666666666667,23.333333333333332,16.0,20.333333333333332,13.333333333333334,16.555555555555554,2.8846122190549255,6.777777777777779
69,5.75,26.666666666666668,16.0,8.0,16.666666666666668,13.555555555555557,3.937787810370967,13.11111111111111
70,5.833333333333333,21.666666666666668,19.333333333333332,31.0,12.333333333333334,20.88888888888889,7.699607172920184,0.7777777777777786
71,5.916666666666667,11.666666666666666,12.666666666666666,22.333333333333332,17.0,17.333333333333332,3.9534326388127097,-5.666666666666666
72,6.0,14.666666666666666,21.666666666666668,10.333333333333334,28.333333333333332,20.11111111111111,7.4303348876891055,-5.444444444444445
73,6.083333333333333,15.666666666666666,21.666666666666668,25.333333333333332,32.333333333333336,26.444444444444446,4.424957278164418,-10.77777777777778
74,6.166666666666667,17.0,13.333333333333334,31.666666666666668,33.0,26.0,8.973211159808875,-9.0
75,6.25,22.333333333333332,16.333333333333332,28.333333333333332,33.666666666666664,26.11111111111111,7.248669524577818,-3.7777777777777786
76,6.333333333333333,42.0,26.0,40.0,35.0,33.666666666666664,5.792715732327589,8.333333333333336
77,6.416666666666667,33.0,21.0,36.666666666666664,30.0,29.222222222222218,6.419491922513017,3.777777777777782
78,6.5,49.666666666666664,25.666666666666668,47.0,52.333333333333336,41.666666666666664,11.52131679716953,8.0
79,6.583333333333333,51.333333333333336,54.0,70.33333333333333,55.666666666666664,60.0,7.33838210042594,-8.666666666666664
80,6.666666666666667,62.333333333333336,58.0,59.666666666666664,41.333333333333336,53.0,8.277591347639632,9.333333333333336
81,6.75,56.666666666666664,73.0,50.0,48.666666666666664,57.22222222222222,11.169844766099727,-0.5555555555555571
82,6.833333333333333,60.666666666666664,94.0,71.66666666666667,68.33333333333333,78.0,11.395255672947924,-17.333333333333336
83,6.916666666666667,47.333333333333336,84.0,50.333333333333336,64.66666666666667,66.33333333333333,13.794792361478162,-18.999999999999993
84,7.0,52.666666666666664,63.0,43.0,52.666666666666664,52.888888888888886,8.166477700005759,-0.22222222222222143
85,7.083333333333333,52.666666666666664,81.0,49.666666666666664,49.0,59.888888888888886,14.930290695325178,-7.222222222222221
86,7.166666666666667,50.0,73.0,64.0,47.0,61.333333333333336,10.780641085864152,-11.333333333333336
87,7.25,54.0,85.66666666666667,61.0,71.33333333333333,72.66666666666667,10.11416315353358,-18.66666666666667
88,7.333333333333333,72.33333333333333,72.0,73.66666666666667,58.0,67.8888888888889,7.0255266486832175,4.444444444444429
89,7.416666666666667,79.0,71.66666666666667,69.66666666666667,57.666666666666664,66.33333333333333,6.1824123303304725,12.666666666666671
90,7.5,87.33333333333333,74.33333333333333,67.0,103.0,81.44444444444444,15.53331743760115,5.888888888888886
91,7.583333333333333,117.66666666666667,70.0,81.0,96.0,82.33333333333333,10.656244908763854,35.33333333333334
92,7.666666666666667,120.0,92.66666666666667,72.0,95.0,86.55555555555556,10.336319759606875,33.44444444444444
93,7.75,151.66666666666666,118.66666666666667,80.0,120.33333333333333,106.33333333333333,18.63290597800529,45.33333333333333
